question,answer,GR3AX,GRAA1,GRAR3,GRAR2
How many domestic and wild bee species are there in the world?,More than 200,0,0,0,0
How many domestic and wild bee species are there in the world?,More than 20.000,0,0,0,0
What are the 4 pillars of Guerlain's commitment?,Preserving biodiversity,0,0,0,0
What are the 4 pillars of Guerlain's commitment?,Protecting the ocean,0,0,0,0
Which of the following bee species lives on ouessant island in France?,THE BLACK BEE,0,0,0,0
Which of the following bee species lives on ouessant island in France?,THE WHITE BEE,0,0,0,0
Which of the following initiatives are a part of the Guerlain’s For Bees Conservation Programme?,Woman for Bees,0,0,0,0
Which of the following initiatives are a part of the Guerlain’s For Bees Conservation Programme?,Woman for Makeup,0,0,0,0
product,3 axis,10,0,0,0
product,Aqua Allegoria,0,10,0,0
product,Abeille Royale trilogy,0,0,10,0
product,Abeille Royale powerful Duo,0,0,0,10
